位置,经纬度
广东省深圳市龙岗区中海康城花园,"114.206844,22.707388"
广东省深圳市龙岗区中骏四季阳光,"114.302574,22.719819"
广东省深圳市龙岗区龙珠花园,"114.124600,22.602495"
广东省深圳市龙岗区丽湖花园,"114.106575,22.630032"
广东省深圳市龙岗区中海怡翠山庄,"114.111506,22.624153"
广东省深圳市龙岗区万象天城,"114.254368,22.723858"
广东省深圳市龙岗区万科天誉花园,"114.233680,22.696509"
广东省深圳市龙岗区保利上城花园,"114.237378,22.705375"
广东省深圳市龙岗区国展苑,"114.118748,22.595281"
广东省深圳市龙岗区东方瑞景苑,"114.268228,22.729331"
广东省深圳市龙岗区阳光花园,"114.118103,22.614922"
广东省深圳市龙岗区振业峦山谷花园一期,"114.266215,22.687325"
广东省深圳市罗湖区金丽豪苑,"114.127280,22.565502"
广东省深圳市龙岗区榭丽花园三期,"114.254196,22.718272"
广东省深圳市福田区御景华城花园,"114.085518,22.533256"
广东省深圳市坪山区京基御景印象家园,"114.334610,22.677583"
广东省深圳市罗湖区翠竹苑,"114.132812,22.558615"
广东省深圳市罗湖区旭飞华达园,"114.128943,22.572273"
广东省深圳市龙岗区百合盛世,"114.237719,22.743310"
广东省深圳市龙岗区中兆花园,"114.144530,22.618200"
广东省深圳市龙岗区信义御城,"114.212023,22.650610"
广东省深圳市龙岗区传麒尚林,"114.275000,22.746059"
广东省深圳市龙岗区星河时代花园,"114.227132,22.692819"
广东省深圳市龙岗区万科翰邻城,"114.230986,22.730721"
广东省深圳市龙岗区尚峰花园,"114.138161,22.623789"
广东省深圳市龙岗区依山郡花园,"114.220281,22.729539"
广东省深圳市龙岗区水晶之城,"114.225134,22.669706"
广东省深圳市罗湖区君逸华府,"114.132899,22.576280"
广东省深圳市龙岗区花语岸花园,"114.237978,22.713904"
广东省深圳市罗湖区泊林花园,"114.125546,22.571705"
广东省深圳市福田区梅林一村,"114.038199,22.564955"
广东省深圳市龙岗区康达尔花园,"114.137411,22.616901"
广东省深圳市福田区皇庭世纪花园,"114.057471,22.525952"
广东省深圳市宝安区碧海富通城,"113.854163,22.567227"
广东省深圳市罗湖区新天地名居,"114.133559,22.544685"
广东省深圳市罗湖区百仕达东郡,"114.137363,22.569790"
